Date,Open,High,Low,Close,Adj Close,Volume
4/2/90,0.078993,0.081597,0.078993,0.078993,0.055651,41731200
4/9/90,0.079861,0.079861,0.074653,0.077257,0.054428,79430400
4/16/90,0.077257,0.079861,0.075521,0.077257,0.054428,70560000
4/23/90,0.077257,0.081597,0.076389,0.078993,0.055651,37324800
4/30/90,0.080729,0.085938,0.079861,0.085938,0.060543,79171200
5/7/90,0.085938,0.08941,0.085069,0.085938,0.060543,70416000
5/14/90,0.087674,0.087674,0.084201,0.085069,0.059931,110102400
5/21/90,0.084201,0.086806,0.082465,0.083333,0.058708,78854400
5/28/90,0.083333,0.088542,0.080729,0.086806,0.061155,323107200
6/4/90,0.087674,0.09375,0.085938,0.087674,0.061766,152582400
6/11/90,0.085069,0.09809,0.085069,0.095486,0.06727,250099200
6/18/90,0.097222,0.097222,0.090278,0.094618,0.066658,73641600
6/25/90,0.094618,0.094618,0.086806,0.092014,0.064824,213984000
7/2/90,0.092014,0.09375,0.090278,0.09158,0.064518,49968000
7/9/90,0.09158,0.105035,0.090278,0.105035,0.073997,151920000
7/16/90,0.104167,0.105035,0.094618,0.097222,0.068493,231523200
7/23/90,0.097222,0.097222,0.082465,0.08941,0.062989,157478400
7/30/90,0.08941,0.090278,0.079861,0.084201,0.05932,96220800
8/6/90,0.084201,0.088542,0.078993,0.083333,0.058708,206179200
8/13/90,0.081597,0.085938,0.079861,0.085938,0.060543,180662400
8/20/90,0.085938,0.088542,0.076389,0.082465,0.058097,224236800
8/27/90,0.085069,0.088542,0.083333,0.085938,0.060543,164073600
9/3/90,0.085938,0.087674,0.083333,0.086806,0.061155,116467200
9/10/90,0.086806,0.087674,0.085069,0.085938,0.060543,103190400
9/17/90,0.086806,0.09375,0.085069,0.085938,0.060543,333993600
9/24/90,0.084201,0.085938,0.075521,0.078125,0.055039,505612800
10/1/90,0.078125,0.087674,0.078125,0.081597,0.057485,266284800
10/8/90,0.085069,0.085069,0.068576,0.075521,0.053205,350150400
10/15/90,0.078125,0.101128,0.074653,0.099826,0.070328,533894400
10/22/90,0.100694,0.111111,0.099826,0.100694,0.070939,473558400
10/29/90,0.100694,0.105035,0.092014,0.105035,0.073997,273283200
11/5/90,0.105035,0.125868,0.103299,0.122396,0.086228,1033862400
11/12/90,0.121528,0.128472,0.119792,0.126736,0.089286,634636800
11/19/90,0.128472,0.12934,0.122396,0.127604,0.089897,171792000
11/26/90,0.125868,0.138889,0.125,0.137153,0.096624,483926400
12/3/90,0.138889,0.148872,0.137153,0.143229,0.100905,475833600
12/10/90,0.142361,0.157118,0.138021,0.15625,0.110078,388108800
12/17/90,0.154514,0.157118,0.147569,0.152778,0.107632,442166400
12/24/90,0.15191,0.153212,0.144965,0.153212,0.107938,192816000
12/31/90,0.153646,0.156684,0.139757,0.141493,0.099682,392745600
1/7/91,0.140625,0.146701,0.136285,0.142361,0.100293,326966400
1/14/91,0.140625,0.174479,0.140625,0.172743,0.121698,539251200
1/21/91,0.171875,0.1875,0.171007,0.186632,0.131482,515203200
